NIT,RAZÓN SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte
"890,115,374",FARID CURE Y CIA. S.A.S. ARROCERA DEL LITORAL.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"1,031",MANUFACTURA,$0.07,$0.01,$0.07,$0.02,$0.06,"2,022"
"819,005,725",TAYRONA AUTOMOTRIZ SAS,SUPERSOCIEDADES,Costa Atlántica,MAGDALENA,SANTA MARTA-MAGDALENA,"4,511",COMERCIO,$0.07,$0.00,$0.03,$0.02,$0.01,"2,022"
"900,749,166",MECO INFRAESTRUCTURA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"4,210",CONSTRUCCIÓN,$0.07,-$0.02,$0.30,$0.29,$0.01,"2,022"
"900,585,481",SOCIEDAD MINERA LOS PINOS S.A.S.,SUPERSOCIEDADES,Centro - Oriente,BOYACA,DUITAMA-BOYACA,"4,661",COMERCIO,$0.07,$0.01,$0.02,$0.01,$0.01,"2,022"
"890,112,801",FUNDACIÓN HOSPITAL UNIVERSIDAD DEL NORTE,SUPERSALUD,Costa Atlántica,ATLANTICO,SOLEDAD-ATLANTICO,"8,610",SERVICIOS,$0.07,$0.00,$0.07,$0.05,$0.02,"2,022"
"900,215,324",NICHOLL´S TACTICA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,FUSAGASUGA-CUNDINAMARCA,"1,410",MANUFACTURA,$0.07,$0.01,$0.03,$0.01,$0.02,"2,022"
"901,299,581",PRODUCTOS FAMILIA RIONEGRO S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,RIONEGRO-ANTIOQUIA,"1,709",MANUFACTURA,$0.07,-$0.00,$0.19,$0.04,$0.15,"2,022"
"890,329,874",ALIMENTOS LA CALI SAS,SUPERSOCIEDADES,Costa Pacífica,VALLE,PALMIRA-VALLE,"1,011",MANUFACTURA,$0.07,-$0.00,$0.05,$0.04,$0.01,"2,022"
"890,918,787",IINVERSIONES SALDARRIAGA BAQUERO Y CIA SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,COPACABANA -ANTIOQUIA,"6,494",SERVICIOS,$0.07,$0.07,$0.09,$0.00,$0.09,"2,022"
"900,711,074",SKG TECNOLOGIA S.A.S.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,"6,201",SERVICIOS,$0.07,$0.01,$0.03,$0.02,$0.01,"2,022"
